page,titre,adresse,nom,statut,fichier,candidats
1430,"1er mai, tous et toutes mobilisé-e-s, pour la défense de nos droits et libertés !",/13/1er-mai-tous-et-toutes-mobilise-e-s-pour-la-defense-de-nos-droits-et-libertes/,cnt_so_13_1er_mai_17,exact,sites/2/2017/04/cnt_so_13_1er_mai_17.pdf,sites/2/2017/04/cnt_so_13_1er_mai_17.pdf
1433,"Tract intersyndical contre l'Extrême Droite dans le 13 (CGT, CNT-SO, FSU, Solidaires 13 et UNEF et UNL",/13/tract-intersyndical-contre-lextreme-droite-dans-le-13-cgt-cnt-so-fsu-solidaires-13-et-unef-et-unl/,tract_unitaire,introuvable,,
1440,Bulletin de la CNT-Solidarité Ouvrière - N°19 Fev 2017,/13/bulletin-de-la-cnt-solidarite-ouvriere-n19-fev-2017/,cnt_so_bulletin_19,exact,sites/2/2017/02/cnt_so_bulletin_19.pdf,sites/2/2017/02/cnt_so_bulletin_19.pdf | sites/3/2017/02/cnt_so_bulletin_19.pdf
1441,"Stage intersyndical ""Pédagogies en lutte et Émancipations"" : 30 et 31 mars 2017,",/13/stage-intersyndical-pedagogies-en-lutte-et-emancipations-30-et-31-mars-2017/,Stage_pedagogies_en_lutte_-_texte_appel.,introuvable,,
1443,TPE : une urgence la syndicalisation !,/13/tpe-une-urgence-la-syndicalisation/,communiquetpe_cnt-so_04fev17,exact,sites/2/2017/02/communiquetpe_cnt-so_04fev17.pdf,sites/2/2017/02/communiquetpe_cnt-so_04fev17.pdf
1448,"Education Prioritaire : la lutte continue ! Manifestation à Marseille, jeudi 12 janvier 2017 - Montée à Paris, jeudi 19/01",/13/education-prioritaire-la-lutte-continue-manifestation-a-marseille-jeudi-12-janvier-2017-montee-a-paris-jeudi-19-01/,appel_intersyndical_lycees_zep,introuvable,,
1449,"Education Prioritaire :  nouveau ""temps fort"" de mobilisation, le 10 janvier",/13/education-prioritaire-nouveau-temps-fort-de-mobilisation-le-10-janvier/,Appel_intersyndicale_academique_ep_10_janvier,introuvable,,
1449,"Education Prioritaire :  nouveau ""temps fort"" de mobilisation, le 10 janvier",/13/education-prioritaire-nouveau-temps-fort-de-mobilisation-le-10-janvier/,Appelag-zep_05janv17,exact,sites/2/2017/01/appelag-zep_05janv17.pdf,sites/2/2017/01/appelag-zep_05janv17.pdf
1454,"Lycées en Education prioritaire : ultimatum du 3 janvier, pas de classement pas de rentrée !",/13/lycees-en-education-prioritaire-ultimatum-du-3-janvier-pas-de-classement-pas-de-rentree/,Appel_intersyndicale_academique_lycees_education_prioritaire,exact,sites/2/2016/11/appel_intersyndicale_academique_lycees_education_prioritaire.pdf,sites/2/2016/11/appel_intersyndicale_academique_lycees_education_prioritaire.pdf
1458,"Élections TPE 2016, salarié-e-s du commerce : votons pour la CNT Solidarité Ouvrière !",/13/elections-tpe-2016-salarie-e-s-du-commerce-votons-pour-la-cnt-solidarite-ouvriere/,cnt_so_tpe_2016_tractcommerce,exact,sites/2/2016/12/cnt_so_tpe_2016_tractcommerce.pdf,sites/2/2016/12/cnt_so_tpe_2016_tractcommerce.pdf
1465,Éducation Prioritaire : Appel de l’intersyndicale académique à la grève le 29 novembre,/13/education-prioritaire-appel-de-lintersyndicale-academique-a-la-greve-le-29-novembre/,Appel_intersyndicale_academique_lycees_education_prioritaire,exact,sites/2/2016/11/appel_intersyndicale_academique_lycees_education_prioritaire.pdf,sites/2/2016/11/appel_intersyndicale_academique_lycees_education_prioritaire.pdf
1470,Sortie des Lycées du dispositif ZEP : tous et toutes en grève le jeudi 17 novembre !,/13/sortie-des-lycees-du-dispositif-zep-tous-et-toutes-en-greve-le-jeudi-17-novembre/,tract_aed_17_novembre_intersyndical,introuvable,,
1479,Hôtel Intercontinental (Panier) : nouvelle victoire pour le « mouvement des femmes de chambre » !,/13/hotel-intercontinental-panier-nouvelle-victoire-pour-le-mouvement-des-femmes-de-chambre/,Communiqueintercontinental_27oct16,exact,sites/2/2016/10/communiqueintercontinental_27oct16.pdf,sites/2/2016/10/communiqueintercontinental_27oct16.pdf
1483,"Education : Menace sur les lycées ZEP, appel intersyndical Académique",/13/education-menace-sur-les-lycees-zep-appel-intersyndical-academique/,appel_intersyndical_education_prioritaire,introuvable,,
1485,Appart'City Euromed (Marseille 2°) : la victoire au bout du conflit pour les femmes de chambre,/13/appartcity-euromed-marseille-2-la-victoire-au-bout-du-conflit-pour-les-femmes-de-chambre/,communiqueappart_city_29sept16,exact,sites/2/2016/09/communiqueappart_city_29sept16.pdf,sites/2/2016/09/communiqueappart_city_29sept16.pdf
1486,"STN Groupe,  élections professionnelles  : votez pour les candidat-e-s de la CNT Solidarité Ouvrière !",/13/stn-groupe-elections-professionnelles-votez-pour-les-candidat-e-s-de-la-cnt-solidarite-ouvriere/,profession_de_foi_stn,exact,sites/2/2016/09/profession_de_foi_stn.pdf,sites/2/2016/09/profession_de_foi_stn.pdf
1491,Jeudi 15 septembre : grève interprofessionnelle - Manif 10h30 au Vx-port,/13/jeudi-15-septembre-greve-interprofessionnelle-manif-10h30-au-vx-port/,cnt_so_15_09_16,exact,sites/2/2016/09/cnt_so_15_09_16.pdf,sites/2/2016/09/cnt_so_15_09_16.pdf
